18,Wastelands,2023,slugfacekillah,Outsiders Expansion,N,Stable,12,,https://boardgamegeek.com/thread/2619288/wastelands-map-root-fan-economy-map,https://steamcommunity.com/sharedfiles/filedetails/?id=2427183217,,https://discord.com/channels/860558905730007061/923396377332056114,https://drive.google.com/drive/folders/19tCC_9QTW682DUeLCUIr7CEyjfczjxA6?usp=share_link,,,,,,,,,,,
19,Mountainside,2023,fred.ko,,N,Stable,12,Tunnels to cave clearings.,,https://steamcommunity.com/sharedfiles/filedetails/?id=2886162432,,https://discord.com/channels/860558905730007061/1060240594917658705,https://drive.google.com/file/d/1mDHKzOJ9NbVSkbvtbWOuCGhER5DWFZWH/,,,,,,,,,,,
20,Unnamed,2024,Impact,,N,Development,9,2 player. Cruise ship and Rocky paths,,,https://discord.com/channels/476234833572397056/1277263863703932990,,,,,,,,,,,,,
21,Glade,2024,LordoftheBoard,,N,Inactive,12,,,,https://discord.com/channels/476234833572397056/1214449176121966602,,,,,,,,,,,,,
22,Hilltop,2024,spshaman,Mountain King Expansion,N,Testing,13,13 clearings with Copper Hill or Lost City,,,https://discord.com/channels/476234833572397056/1276603741407019170,,,,,,,,,,,,,
24,Hypercube,2024,Nevakanezah,,N,Development,16,One way paths. Chaos.,,,https://discord.com/channels/476234833572397056/1290796365416497285,,,,,,,,,,,,,
25,Volcano Island,2024,fred.ko,,N,Development,12,"Island ports, volcano ledges",,,https://discord.com/channels/476234833572397056/1180336026162561105,,https://drive.google.com/file/d/11qqSoFaD2SJndENiVGeTHs5tjV3_r878/view,,,,,,,,,,,
26,Blighted Grove,2024,Endgamer1331,,N,Testing,10,2-3 Player with Blighted City Clearing,,https://steamcommunity.com/sharedfiles/filedetails/?id=3346819586,https://discord.com/channels/476234833572397056/1291884148419465346,,https://drive.google.com/drive/folders/1u5mR7V7j1hNi-UPcZeDb-jhuZ4-5u_PV?usp=sharing,,,,,,,,,,,
27,Coastal,2020,PatrickLeder,,N,Inactive,12,River with 5 docks separating two clearings from the rest of the map,,,,,https://drive.google.com/file/d/1zoHMVS4fNmEf6AaYKlXWekmsC3mbaEoJ/view?usp=sharing,,,,,,,,,,,
28,Tunnel,2020,PatrickLeder,,N,Inactive,12,4 groups of 3 clearings,,,,,https://drive.google.com/file/d/1zoHMVS4fNmEf6AaYKlXWekmsC3mbaEoJ/view?usp=sharing,,,,,,,,,,,
29,Canyon,2020,PatrickLeder,,N,Inactive,12,,,,,,https://drive.google.com/file/d/1zoHMVS4fNmEf6AaYKlXWekmsC3mbaEoJ/view?usp=sharing,,,,,,,,,,,
30,Overgrown Tower,2024,walliam,,N,Development,13,Commanding Overlook landmark in 13th clearing,,,https://discord.com/channels/476234833572397056/1289707641370710026,,,,,,,,,,,,,
31,Urban,2021,slugfacekillah,,N,Stable,12,,https://boardgamegeek.com/thread/2849285/urban-districts-and-denizens-root-fan-map-and-more,https://steamcommunity.com/sharedfiles/filedetails/?id=2672497290,,https://discord.com/channels/860558905730007061/908783667969658963,https://drive.google.com/drive/folders/1XK3bxRh_fkBbaFopR5p8CMFRHxq27sEa?usp=share_link,,,,,,,,,,,
32,Blighted City,2023,Endgamer1331,,N,Stable,13,Blighted City in 13th clearing,,https://steamcommunity.com/sharedfiles/filedetails/?id=2961047120,https://discord.com/channels/476234833572397056/1088469209501139006,,https://drive.google.com/drive/folders/1u5mR7V7j1hNi-UPcZeDb-jhuZ4-5u_PV?usp=sharing,,,,,,,,,,,
